candidate_key,candidate_label,candidate_protocol_key,reference_key,reference_label,reference_protocol_key,benchmark,candidate_score,reference_score,difference,difference_percentage_points,difference_definition,interval_status,ci95_lower,ci95_upper,ci95_lower_percentage_points,ci95_upper_percentage_points,paired_interval_includes_zero,bootstrap_samples,bootstrap_seed,uncertainty_scope,training_run_variability_estimated
nvfp4_proposed_settings,"Native NVFP4 no-RHT/all-linears ablation, effective D=1",nvfp4_transformer_engine_native,bf16,BF16 learned-weight control,learned_weight_bf16,mmlu_olmes,0.35114918891672003,0.3963562898095098,-0.04520710089278979,-4.520710089278978,candidate_score - reference_score; positive favors candidate,computed,-0.05302510238900414,-0.03722700076365631,-5.302510238900414,-3.722700076365631,False,10000,20260831,evaluation-example sampling only,False
nvfp4_proposed_settings,"Native NVFP4 no-RHT/all-linears ablation, effective D=1",nvfp4_transformer_engine_native,bf16,BF16 learned-weight control,learned_weight_bf16,mmlu_pro_mc,0.11286569148936171,0.11236702127659574,0.0004986702127659642,0.049867021276596424,candidate_score - reference_score; positive favors candidate,computed,-0.006815159574468085,0.007646276595744669,-0.6815159574468086,0.764627659574467,True,10000,20260831,evaluation-example sampling only,False
ue5m3_te_recipe,"UE5M3 FP4 with Transformer Engine settings, current-tensor D=1",fp4_current_tensor_d1,bf16,BF16 learned-weight control,learned_weight_bf16,core_9mcqa_olmes,0.6443290045503574,0.6513771997049768,-0.007048195154619408,-0.7048195154619408,candidate_score - reference_score; positive favors candidate,computed,-0.015566958047937795,0.001659449344640323,-1.5566958047937796,0.1659449344640323,True,10000,20260831,evaluation-example sampling only,False
ue5m3_te_recipe,"UE5M3 FP4 with Transformer Engine settings, current-tensor D=1",fp4_current_tensor_d1,bf16,BF16 learned-weight control,learned_weight_bf16,mmlu_olmes,0.38572988598672475,0.3963562898095098,-0.010626403822785069,-1.0626403822785069,candidate_score - reference_score; positive favors candidate,computed,-0.017931948205366845,-0.003180603596170096,-1.7931948205366846,-0.3180603596170096,False,10000,20260831,evaluation-example sampling only,False
ue5m3_te_recipe,"UE5M3 FP4 with Transformer Engine settings, current-tensor D=1",fp4_current_tensor_d1,bf16,BF16 learned-weight control,learned_weight_bf16,mmlu_pro_mc,0.11361369680851063,0.11236702127659574,0.0012466755319148898,0.12466755319148898,candidate_score - reference_score; positive favors candidate,computed,-0.005651595744680854,0.008147024601063809,-0.5651595744680854,0.8147024601063809,True,10000,20260831,evaluation-example sampling only,False
bf16,BF16 learned-weight control,learned_weight_bf16,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,core_9mcqa_olmes,0.6513771997049768,0.6369206800261427,0.014456519678834101,1.44565196788341,candidate_score - reference_score; positive favors candidate,computed,0.005460311011739394,0.023312898918410933,0.5460311011739394,2.3312898918410934,False,10000,20260831,evaluation-example sampling only,False
bf16,BF16 learned-weight control,learned_weight_bf16,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_olmes,0.3963562898095098,0.3796448260953333,0.016711463714176533,1.6711463714176533,candidate_score - reference_score; positive favors candidate,computed,0.009465471997103157,0.02400977616450092,0.9465471997103156,2.400977616450092,False,10000,20260831,evaluation-example sampling only,False
bf16,BF16 learned-weight control,learned_weight_bf16,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_pro_mc,0.11236702127659574,0.11053856382978723,0.0018284574468085124,0.18284574468085124,candidate_score - reference_score; positive favors candidate,computed,-0.005900930851063829,0.009308510638297865,-0.5900930851063829,0.9308510638297864,True,10000,20260831,evaluation-example sampling only,False
ue5m3_proposed_b16,"Proposed UE5M3 FP4, B=16, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,core_9mcqa_olmes,0.638183836990957,0.6369206800261427,0.0012631569648143826,0.12631569648143826,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
ue5m3_proposed_b16,"Proposed UE5M3 FP4, B=16, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_olmes,0.38972954953923794,0.3796448260953333,0.010084723443904653,1.0084723443904653,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
